File name of aligned model	 GA341	 zDOPE 
5kp7_clean_pdb__.BL00010001.pdb	1.00000	-1.63583
5kp7_clean_pdb__.BL00020001.pdb	1.00000	-1.66141
5kp7_clean_pdb__.BL00030001.pdb	1.00000	-1.65356
5kp7_clean_pdb__.BL00040001.pdb	1.00000	-1.65035
5kp7_clean_pdb__.BL00050001.pdb	1.00000	-1.67505
